initials,date,course_id,time(m),summary
JP,9/5/2023,DS160-01,80,Worked with Excell doing data anlysis
JP,9/5/2023,FILM-270-01,70,Talk about a movie + lesson
JP,9/5/2023,MATH-205-03,140,Lecture
JP,9/5/2023,FILM-270-01,120,Homework.
JP,9/6/2023,MATH-205-03,120,Lecture
JP,9/6/2023,CS-215-01,50,Lecture
JP,9/6/2023,MUSI-111,60,Piano Lesson
JP,9/6/2023,MATH-430-01,75,Lesson
JP,9/7/2023,DS160-01,80,Lecture
JP,9/7/2023,CS-215-01,120,Lab
JP,9/7/2023,MATH-205-03,140,Lecture + Quiz
JP,9/8/2021,CS-215-01,40,Homework and JAVA learning
JP,9/11/2023,CS-215-01,50,Lecture
JP,9/11/2023,MATH-430-01,80,Lecture
JP,9/11/2023,MUSE-133-01,150,Choir practice
JP,9/12/2023,DS160-01,80,Lecture
JP,9/12/2023,FILM-270-01,120,Homework
JP,9/12/2023,FILM-270-01,70,Lecture
JP,9/12/2023,MATH-205-03,120,Lecture
JP,9/13/2023,CS-215-01,50,Lecture
JP,9/13/2023,MUSI-111,60,Piano Lesson
JP,9/13/2023,MATH-205-03,75,Lecture
JP,9/13/2023,MATH-430-01,60,Homework
JP,9/14/2023,CS-215-01,50,Lecture
JP,9/18/2023,MATH-430-01,75,Lecture
JP,9/18/2023,MUSE-133-01,150,Choir practice
JP,9/19/2023,DS160-01,80,Lecture
JP,9/19/2023,FILM-270-01,70,Talk about a movie + lecture
JP,9/19/2023,MATH-205-03,140,Lecture
JP,9/19/2023,FILM-270-01,120,Homework.
JP,9/20/2023,CS-215-01,50,Lecture
JP,9/20/2023,MUSI-111,60,Piano Lesson
JP,9/20/2023,MATH-430-01,75,Lesson
JP,9/21/2023,DS160-01,80,Lecture
JP,9/21/2023,CS-215-01,120,Lab
JP,9/21/2023,MATH-205-03,140,Lecture
JP,9/25/2023,CS-215-01,40,Homework and JAVA learning
JP,9/25/2023,CS-215-01,50,Lecture
JP,9/25/2023,MATH-430-01,80,Lecture
